Ref_Date,GEO,ITEMS,Vector,Coordinate,Value
1992/01,Canada,All-items,v41690914,1.1,83.1
1992/02,Canada,All-items,v41690914,1.1,83.2
1992/03,Canada,All-items,v41690914,1.1,83.6
1992/04,Canada,All-items,v41690914,1.1,83.7
1992/05,Canada,All-items,v41690914,1.1,83.9
1992/06,Canada,All-items,v41690914,1.1,84.1
1992/07,Canada,All-items,v41690914,1.1,84.1
1992/08,Canada,All-items,v41690914,1.1,84.2
1992/09,Canada,All-items,v41690914,1.1,84.3
1992/10,Canada,All-items,v41690914,1.1,84.4
1992/11,Canada,All-items,v41690914,1.1,84.5
1992/12,Canada,All-items,v41690914,1.1,84.7
1993/01,Canada,All-items,v41690914,1.1,84.9
1993/02,Canada,All-items,v41690914,1.1,85.2
1993/03,Canada,All-items,v41690914,1.1,85.2
1993/04,Canada,All-items,v41690914,1.1,85.3
1993/05,Canada,All-items,v41690914,1.1,85.4
1993/06,Canada,All-items,v41690914,1.1,85.4
1993/07,Canada,All-items,v41690914,1.1,85.5
1993/08,Canada,All-items,v41690914,1.1,85.7
1993/09,Canada,All-items,v41690914,1.1,85.8
1993/10,Canada,All-items,v41690914,1.1,86.0
1993/11,Canada,All-items,v41690914,1.1,86.1
1993/12,Canada,All-items,v41690914,1.1,86.1
1994/01,Canada,All-items,v41690914,1.1,86.0
1994/02,Canada,All-items,v41690914,1.1,85.3
1994/03,Canada,All-items,v41690914,1.1,85.3
1994/04,Canada,All-items,v41690914,1.1,85.3
1994/05,Canada,All-items,v41690914,1.1,85.2
1994/06,Canada,All-items,v41690914,1.1,85.3
1994/07,Canada,All-items,v41690914,1.1,85.6
1994/08,Canada,All-items,v41690914,1.1,85.8
1994/09,Canada,All-items,v41690914,1.1,85.9
1994/10,Canada,All-items,v41690914,1.1,85.8
1994/11,Canada,All-items,v41690914,1.1,86.1
1994/12,Canada,All-items,v41690914,1.1,86.4
1995/01,Canada,All-items,v41690914,1.1,86.6
1995/02,Canada,All-items,v41690914,1.1,87.0
1995/03,Canada,All-items,v41690914,1.1,87.2
1995/04,Canada,All-items,v41690914,1.1,87.4
1995/05,Canada,All-items,v41690914,1.1,87.7
1995/06,Canada,All-items,v41690914,1.1,87.7
1995/07,Canada,All-items,v41690914,1.1,87.8
1995/08,Canada,All-items,v41690914,1.1,87.7
1995/09,Canada,All-items,v41690914,1.1,87.8
1995/10,Canada,All-items,v41690914,1.1,87.8
1995/11,Canada,All-items,v41690914,1.1,87.9
1995/12,Canada,All-items,v41690914,1.1,87.9
1996/01,Canada,All-items,v41690914,1.1,88.0
1996/02,Canada,All-items,v41690914,1.1,88.1
1996/03,Canada,All-items,v41690914,1.1,88.5
1996/04,Canada,All-items,v41690914,1.1,88.7
1996/05,Canada,All-items,v41690914,1.1,88.9
1996/06,Canada,All-items,v41690914,1.1,88.9
1996/07,Canada,All-items,v41690914,1.1,88.9
1996/08,Canada,All-items,v41690914,1.1,89.0
1996/09,Canada,All-items,v41690914,1.1,89.1
1996/10,Canada,All-items,v41690914,1.1,89.4
1996/11,Canada,All-items,v41690914,1.1,89.7
1996/12,Canada,All-items,v41690914,1.1,89.9
1997/01,Canada,All-items,v41690914,1.1,90.0
1997/02,Canada,All-items,v41690914,1.1,90.1
1997/03,Canada,All-items,v41690914,1.1,90.2
1997/04,Canada,All-items,v41690914,1.1,90.2
1997/05,Canada,All-items,v41690914,1.1,90.2
1997/06,Canada,All-items,v41690914,1.1,90.3
1997/07,Canada,All-items,v41690914,1.1,90.4
1997/08,Canada,All-items,v41690914,1.1,90.6
1997/09,Canada,All-items,v41690914,1.1,90.6
1997/10,Canada,All-items,v41690914,1.1,90.6
1997/11,Canada,All-items,v41690914,1.1,90.5
1997/12,Canada,All-items,v41690914,1.1,90.6
1998/01,Canada,All-items,v41690914,1.1,91.1
1998/02,Canada,All-items,v41690914,1.1,91.1
1998/03,Canada,All-items,v41690914,1.1,91.1
1998/04,Canada,All-items,v41690914,1.1,91.0
1998/05,Canada,All-items,v41690914,1.1,91.1
1998/06,Canada,All-items,v41690914,1.1,91.2
1998/07,Canada,All-items,v41690914,1.1,91.2
1998/08,Canada,All-items,v41690914,1.1,91.3
1998/09,Canada,All-items,v41690914,1.1,91.1
1998/10,Canada,All-items,v41690914,1.1,91.6
1998/11,Canada,All-items,v41690914,1.1,91.6
1998/12,Canada,All-items,v41690914,1.1,91.6
1999/01,Canada,All-items,v41690914,1.1,91.8
1999/02,Canada,All-items,v41690914,1.1,91.8
1999/03,Canada,All-items,v41690914,1.1,92.0
1999/04,Canada,All-items,v41690914,1.1,92.5
1999/05,Canada,All-items,v41690914,1.1,92.6
1999/06,Canada,All-items,v41690914,1.1,92.6
1999/07,Canada,All-items,v41690914,1.1,92.8
1999/08,Canada,All-items,v41690914,1.1,93.2
1999/09,Canada,All-items,v41690914,1.1,93.5
1999/10,Canada,All-items,v41690914,1.1,93.6
1999/11,Canada,All-items,v41690914,1.1,93.7
1999/12,Canada,All-items,v41690914,1.1,94.0
2000/01,Canada,All-items,v41690914,1.1,94.0
2000/02,Canada,All-items,v41690914,1.1,94.3
2000/03,Canada,All-items,v41690914,1.1,94.8
2000/04,Canada,All-items,v41690914,1.1,94.4
2000/05,Canada,All-items,v41690914,1.1,94.7
2000/06,Canada,All-items,v41690914,1.1,95.3
2000/07,Canada,All-items,v41690914,1.1,95.6
2000/08,Canada,All-items,v41690914,1.1,95.5
2000/09,Canada,All-items,v41690914,1.1,95.9
2000/10,Canada,All-items,v41690914,1.1,96.3
2000/11,Canada,All-items,v41690914,1.1,96.8
2000/12,Canada,All-items,v41690914,1.1,97.0
2001/01,Canada,All-items,v41690914,1.1,96.8
2001/02,Canada,All-items,v41690914,1.1,96.9
2001/03,Canada,All-items,v41690914,1.1,97.1
2001/04,Canada,All-items,v41690914,1.1,97.8
2001/05,Canada,All-items,v41690914,1.1,98.4
2001/06,Canada,All-items,v41690914,1.1,98.4
2001/07,Canada,All-items,v41690914,1.1,98.1
2001/08,Canada,All-items,v41690914,1.1,98.2
2001/09,Canada,All-items,v41690914,1.1,98.4
2001/10,Canada,All-items,v41690914,1.1,98.1
2001/11,Canada,All-items,v41690914,1.1,97.4
2001/12,Canada,All-items,v41690914,1.1,97.7
2002/01,Canada,All-items,v41690914,1.1,98.1
2002/02,Canada,All-items,v41690914,1.1,98.4
2002/03,Canada,All-items,v41690914,1.1,98.8
2002/04,Canada,All-items,v41690914,1.1,99.5
2002/05,Canada,All-items,v41690914,1.1,99.4
