DATE,IRSTCB01ZAM156N
1960-01-01,3.70
1960-04-01,3.85
1960-07-01,4.33
1960-10-01,4.50
1961-01-01,4.50
1961-04-01,4.83
1961-07-01,5.00
1961-10-01,4.83
1962-01-01,4.50
1962-04-01,3.70
1962-07-01,2.79
1962-10-01,2.43
1963-01-01,2.47
1963-04-01,2.61
1963-07-01,2.55
1963-10-01,2.33
1964-01-01,2.99
1964-04-01,3.36
1964-07-01,4.00
1964-10-01,4.17
1965-01-01,4.67
1965-04-01,5.00
1965-07-01,5.00
1965-10-01,5.00
1966-01-01,5.00
1966-04-01,5.00
1966-07-01,6.00
1966-10-01,6.00
1967-01-01,6.00
1967-04-01,6.00
1967-07-01,6.00
1967-10-01,6.00
1968-01-01,6.00
1968-04-01,6.00
1968-07-01,5.67
1968-10-01,5.50
1969-01-01,5.50
1969-04-01,5.50
1969-07-01,5.50
1969-10-01,5.50
1970-01-01,5.50
1970-04-01,5.50
1970-07-01,5.50
1970-10-01,5.50
1971-01-01,5.83
1971-04-01,6.50
1971-07-01,6.50
1971-10-01,6.50
1972-01-01,6.50
1972-04-01,6.50
1972-07-01,6.17
1972-10-01,6.00
1973-01-01,5.83
1973-04-01,5.50
1973-07-01,4.72
1973-10-01,3.41
1974-01-01,5.22
1974-04-01,5.60
1974-07-01,6.63
1974-10-01,6.54
1975-01-01,6.42
1975-04-01,6.14
1975-07-01,6.70
1975-10-01,7.37
1976-01-01,7.65
1976-04-01,7.77
1976-07-01,8.25
1976-10-01,8.24
1977-01-01,8.37
1977-04-01,8.35
1977-07-01,8.40
1977-10-01,8.41
1978-01-01,8.47
1978-04-01,8.48
1978-07-01,8.27
1978-10-01,7.90
1979-01-01,7.19
1979-04-01,5.92
1979-07-01,5.10
1979-10-01,4.47
1980-01-01,4.75
1980-04-01,5.03
1980-07-01,5.05
1980-10-01,6.03
1981-01-01,7.80
1981-04-01,9.37
1981-07-01,11.79
1981-10-01,13.28
1982-01-01,15.94
1982-04-01,16.51
1982-07-01,16.58
1982-10-01,14.95
1983-01-01,11.70
1983-04-01,12.89
1983-07-01,15.51
1983-10-01,16.85
1984-01-01,17.75
1984-04-01,17.75
1984-07-01,20.75
1984-10-01,21.08
1985-01-01,21.75
1985-04-01,20.08
1985-07-01,16.25
1985-10-01,13.33
1986-01-01,12.00
1986-04-01,11.33
1986-07-01,10.50
1986-10-01,9.83
1987-01-01,9.50
1987-04-01,9.50
1987-07-01,9.50
1987-10-01,9.50
1988-01-01,9.83
1988-04-01,11.17
1988-07-01,12.50
1988-10-01,13.83
1989-01-01,14.50
1989-04-01,16.67
1989-07-01,17.00
1989-10-01,18.00
1990-01-01,18.00
1990-04-01,18.00
1990-07-01,18.00
1990-10-01,18.00
1991-01-01,17.67
1991-04-01,17.00
1991-07-01,17.00
1991-10-01,17.00
1992-01-01,16.67
1992-04-01,15.67
1992-07-01,15.00
1992-10-01,14.33
1993-01-01,13.33
1993-04-01,13.00
1993-07-01,13.00
1993-10-01,12.00
1994-01-01,12.00
1994-04-01,12.00
1994-07-01,12.33
1994-10-01,13.00
1995-01-01,13.67
1995-04-01,14.33
1995-07-01,15.00
1995-10-01,15.00
1996-01-01,15.00
1996-04-01,16.00
1996-07-01,16.00
1996-10-01,16.67
1997-01-01,17.00
1997-04-01,17.00
1997-07-01,17.00
1997-10-01,16.00
1998-01-01,15.67
1998-04-01,17.71
1998-07-01,21.68
1998-10-01,19.92
1999-01-01,17.56
1999-04-01,15.34
1999-07-01,13.16
1999-10-01,12.06
2000-01-01,11.75
2000-04-01,11.75
2000-07-01,11.75
2000-10-01,12.00
2001-01-01,12.00
2001-04-01,11.67
2001-07-01,10.50
2001-10-01,9.50
2002-01-01,10.83
2002-04-01,11.83
2002-07-01,12.83
2002-10-01,13.50
2003-01-01,13.50
2003-04-01,13.00
2003-07-01,11.00
2003-10-01,8.33
2004-01-01,8.00
2004-04-01,8.00
2004-07-01,7.67
2004-10-01,7.50
2005-01-01,7.50
2005-04-01,7.00
2005-07-01,7.00
2005-10-01,7.00
2006-01-01,7.00
2006-04-01,7.17
2006-07-01,7.83
2006-10-01,8.67
2007-01-01,9.00
2007-04-01,9.17
2007-07-01,9.83
2007-10-01,10.67
2008-01-01,11.00
2008-04-01,11.67
2008-07-01,12.00
2008-10-01,11.83
2009-01-01,10.50
2009-04-01,8.17
2009-07-01,7.17
2009-10-01,7.00
2010-01-01,6.83
2010-04-01,6.50
2010-07-01,6.33
2010-10-01,5.67
2011-01-01,5.50
2011-04-01,5.50
2011-07-01,5.50
2011-10-01,5.50
2012-01-01,5.50
2012-04-01,5.50
2012-07-01,5.00
2012-10-01,5.00
2013-01-01,5.00
2013-04-01,5.00
2013-07-01,5.00
2013-10-01,5.00
2014-01-01,5.50
2014-04-01,5.50
2014-07-01,5.75
2014-10-01,5.75
2015-01-01,5.75
2015-04-01,5.75
2015-07-01,6.00
2015-10-01,6.17
2016-01-01,6.83
2016-04-01,7.00
2016-07-01,7.00
2016-10-01,7.00
2017-01-01,7.00
2017-04-01,7.00
2017-07-01,6.75
