DATE,NAEXKP01ZAQ661S
1960-01-01,0.20600000000000002
1960-04-01,0.209
1960-07-01,0.21300000000000002
1960-10-01,0.215
1961-01-01,0.21600000000000003
1961-04-01,0.21600000000000003
1961-07-01,0.22
1961-10-01,0.222
1962-01-01,0.228
1962-04-01,0.23
1962-07-01,0.23399999999999999
1962-10-01,0.237
1963-01-01,0.24
1963-04-01,0.247
1963-07-01,0.253
1963-10-01,0.257
1964-01-01,0.262
1964-04-01,0.267
1964-07-01,0.27
1964-10-01,0.277
1965-01-01,0.28300000000000003
1965-04-01,0.28600000000000003
1965-07-01,0.28500000000000003
1965-10-01,0.289
1966-01-01,0.29300000000000004
1966-04-01,0.297
1966-07-01,0.30100000000000005
1966-10-01,0.302
1967-01-01,0.313
1967-04-01,0.313
1967-07-01,0.329
1967-10-01,0.32299999999999995
1968-01-01,0.329
1968-04-01,0.33
1968-07-01,0.334
1968-10-01,0.34
1969-01-01,0.342
1969-04-01,0.342
1969-07-01,0.358
1969-10-01,0.353
1970-01-01,0.36
1970-04-01,0.368
1970-07-01,0.364
1970-10-01,0.376
1971-01-01,0.38200000000000006
1971-04-01,0.379
1971-07-01,0.384
1971-10-01,0.386
1972-01-01,0.384
1972-04-01,0.38799999999999996
1972-07-01,0.38799999999999996
1972-10-01,0.395
1973-01-01,0.4
1973-04-01,0.399
1973-07-01,0.41000000000000003
1973-10-01,0.418
1974-01-01,0.42600000000000005
1974-04-01,0.43200000000000005
1974-07-01,0.43700000000000006
1974-10-01,0.433
1975-01-01,0.43100000000000005
1975-04-01,0.438
1975-07-01,0.44200000000000006
1975-10-01,0.445
1976-01-01,0.451
1976-04-01,0.44200000000000006
1976-07-01,0.45299999999999996
1976-10-01,0.449
1977-01-01,0.44799999999999995
1977-04-01,0.449
1977-07-01,0.44700000000000006
1977-10-01,0.449
1978-01-01,0.457
1978-04-01,0.466
1978-07-01,0.461
1978-10-01,0.465
1979-01-01,0.473
1979-04-01,0.47600000000000003
1979-07-01,0.48
1979-10-01,0.489
1980-01-01,0.499
1980-04-01,0.509
1980-07-01,0.518
1980-10-01,0.519
1981-01-01,0.525
1981-04-01,0.537
1981-07-01,0.545
1981-10-01,0.5479999999999999
1982-01-01,0.543
1982-04-01,0.538
1982-07-01,0.538
1982-10-01,0.527
1983-01-01,0.519
1983-04-01,0.521
1983-07-01,0.527
1983-10-01,0.54
1984-01-01,0.549
1984-04-01,0.561
1984-07-01,0.552
1984-10-01,0.552
1985-01-01,0.549
1985-04-01,0.545
1985-07-01,0.544
1985-10-01,0.549
1986-01-01,0.543
1986-04-01,0.547
1986-07-01,0.5479999999999999
1986-10-01,0.55
1987-01-01,0.554
1987-04-01,0.556
1987-07-01,0.5579999999999999
1987-10-01,0.5650000000000001
1988-01-01,0.574
1988-04-01,0.578
1988-07-01,0.585
1988-10-01,0.5910000000000001
1989-01-01,0.595
1989-04-01,0.5970000000000001
1989-07-01,0.598
1989-10-01,0.594
1990-01-01,0.594
1990-04-01,0.594
1990-07-01,0.593
1990-10-01,0.594
1991-01-01,0.589
1991-04-01,0.588
1991-07-01,0.588
1991-10-01,0.5870000000000001
1992-01-01,0.583
1992-04-01,0.579
1992-07-01,0.5720000000000001
1992-10-01,0.5670000000000001
1993-01-01,0.5720000000000001
1993-04-01,0.579
1993-07-01,0.5870000000000001
1993-10-01,0.5910000000000001
1994-01-01,0.5910000000000001
1994-04-01,0.5970000000000001
1994-07-01,0.604
1994-10-01,0.614
1995-01-01,0.616
1995-04-01,0.619
1995-07-01,0.621
1995-10-01,0.624
1996-01-01,0.633
1996-04-01,0.644
1996-07-01,0.652
1996-10-01,0.658
1997-01-01,0.66
1997-04-01,0.664
1997-07-01,0.665
1997-10-01,0.6659999999999999
1998-01-01,0.667
1998-04-01,0.668
1998-07-01,0.667
1998-10-01,0.667
1999-01-01,0.6729999999999999
1999-04-01,0.679
1999-07-01,0.6859999999999999
1999-10-01,0.6940000000000001
2000-01-01,0.701
2000-04-01,0.708
2000-07-01,0.715
2000-10-01,0.721
2001-01-01,0.726
2001-04-01,0.7290000000000001
2001-07-01,0.731
2001-10-01,0.737
2002-01-01,0.746
2002-04-01,0.755
2002-07-01,0.762
2002-10-01,0.767
2003-01-01,0.774
2003-04-01,0.778
2003-07-01,0.782
2003-10-01,0.7859999999999999
2004-01-01,0.798
2004-04-01,0.809
2004-07-01,0.823
2004-10-01,0.831
2005-01-01,0.84
2005-04-01,0.855
2005-07-01,0.867
2005-10-01,0.872
2006-01-01,0.888
2006-04-01,0.9
2006-07-01,0.913
2006-10-01,0.925
2007-01-01,0.9400000000000001
2007-04-01,0.948
2007-07-01,0.9590000000000001
2007-10-01,0.973
2008-01-01,0.9770000000000001
2008-04-01,0.9890000000000001
2008-07-01,0.991
2008-10-01,0.986
2009-01-01,0.97
2009-04-01,0.9670000000000001
2009-07-01,0.9690000000000001
2009-10-01,0.976
2010-01-01,0.9870000000000001
2010-04-01,0.993
2010-07-01,1.0050000000000001
2010-10-01,1.0150000000000001
2011-01-01,1.025
2011-04-01,1.031
2011-07-01,1.034
2011-10-01,1.042
2012-01-01,1.046
2012-04-01,1.055
2012-07-01,1.058
2012-10-01,1.063
2013-01-01,1.068
2013-04-01,1.0790000000000002
2013-07-01,1.084
2013-10-01,1.098
2014-01-01,1.093
2014-04-01,1.095
2014-07-01,1.101
2014-10-01,1.112
2015-01-01,1.118
2015-04-01,1.112
2015-07-01,1.114
