DATE,PCEPILFE
1959-01-01,17.597
1959-02-01,17.609
1959-03-01,17.627
1959-04-01,17.670
1959-05-01,17.690
1959-06-01,17.741
1959-07-01,17.782
1959-08-01,17.810
1959-09-01,17.856
1959-10-01,17.887
1959-11-01,17.920
1959-12-01,17.948
1960-01-01,17.954
1960-02-01,17.986
1960-03-01,17.988
1960-04-01,18.021
1960-05-01,18.051
1960-06-01,18.063
1960-07-01,18.095
1960-08-01,18.122
1960-09-01,18.136
1960-10-01,18.148
1960-11-01,18.196
1960-12-01,18.191
1961-01-01,18.195
1961-02-01,18.213
1961-03-01,18.219
1961-04-01,18.244
1961-05-01,18.268
1961-06-01,18.296
1961-07-01,18.325
1961-08-01,18.344
1961-09-01,18.381
1961-10-01,18.388
1961-11-01,18.391
1961-12-01,18.408
1962-01-01,18.431
1962-02-01,18.461
1962-03-01,18.504
1962-04-01,18.507
1962-05-01,18.533
1962-06-01,18.567
1962-07-01,18.582
1962-08-01,18.583
1962-09-01,18.619
1962-10-01,18.616
1962-11-01,18.630
1962-12-01,18.635
1963-01-01,18.672
1963-02-01,18.691
1963-03-01,18.701
1963-04-01,18.723
1963-05-01,18.755
1963-06-01,18.787
1963-07-01,18.803
1963-08-01,18.819
1963-09-01,18.854
1963-10-01,18.896
1963-11-01,18.914
1963-12-01,18.941
1964-01-01,18.968
1964-02-01,19.005
1964-03-01,19.024
1964-04-01,19.042
1964-05-01,19.059
1964-06-01,19.074
1964-07-01,19.093
1964-08-01,19.119
1964-09-01,19.128
1964-10-01,19.136
1964-11-01,19.164
1964-12-01,19.191
1965-01-01,19.216
1965-02-01,19.239
1965-03-01,19.250
1965-04-01,19.273
1965-05-01,19.308
1965-06-01,19.302
1965-07-01,19.322
1965-08-01,19.358
1965-09-01,19.381
1965-10-01,19.374
1965-11-01,19.411
1965-12-01,19.470
1966-01-01,19.476
1966-02-01,19.524
1966-03-01,19.550
1966-04-01,19.620
1966-05-01,19.672
1966-06-01,19.737
1966-07-01,19.795
1966-08-01,19.832
1966-09-01,19.893
1966-10-01,19.959
1966-11-01,20.010
1966-12-01,20.070
1967-01-01,20.090
