DATE,Inflation
2002/01/01,69.3
2002/04/01,71.4
2002/07/01,73.4
2002/10/01,75.6
2003/01/01,76.8
2003/04/01,77.3
2003/07/01,76.6
2003/10/01,74.8
2004/01/01,74.9
2004/04/01,75.2
2004/07/01,75.4
2004/10/01,75.6
2005/01/01,76.3
2005/04/01,76.4
2005/07/01,76.7
2005/10/01,76.7
2006/01/01,77.1
2006/04/01,77.6
2006/07/01,78.8
2006/10/01,79.8
2007/01/01,80.7
2007/04/01,81.7
2007/07/01,83.2
2007/10/01,84.5
2008/01/01,86.6
2008/04/01,88
2008/07/01,90.1
2008/10/01,91.5
2009/01/01,93.9
2009/04/01,95.7
2009/07/01,97.2
2009/10/01,97.6
2010/01/01,98.8
2010/04/01,99.7
2010/07/01,100.6
2010/10/01,100.9
2011/01/01,101.8
2011/04/01,103.2
2011/07/01,104.5
2011/10/01,105.1
2012/01/01,106.5
2012/04/01,108.1
2012/07/01,109.4
2012/10/01,110.3
2013/01/01,112
2013/04/01,113.8
2013/07/01,114.9
2013/10/01,115.9
2014/01/01,117.8
2014/04/01,120
2014/07/01,121.6
2014/10/01,122.7
2015/01/01,125
2015/04/01,126.8
2015/07/01,128.1
2015/10/01,129
2016/01/01,131.8
2016/04/01,134
2016/07/01,135.5
2016/10/01,136.5
2017/01/01,138.6
2017/04/01,140.3
2017/07/01,141.5
