,YER,PCR,GCR,ITR,XTR,MTR,YED,PCD,GCD,ITD,XTD,MTD,YFD,YIN,WIN,GON,TIN,YFN,HICP,HEX,HEG,HICPSYA,HEXSYA,HEGSYA,HEGWEI,CAN_YEN,NFN_YEN,LFN,LNN,UNN,URX,LEN,STN,LTN,COMPR,POILU,PCOMU,YWD,YWDX,YWR,YWRX,LPROD,ULC,WRN,SAX,EEN,EXR
1970Q1,741676.226615988,410926.134141119,130752.302783389,191804.937712884,102119.526782443,105319.534132605,0.163912181,0.166580909,0.140159762,0.170420528,0.219702483,0.220328763,0.144439620,121569.767807027,59474.391299102,47653.041141713,14442.335366211,107127.432440816,20.051502264,NA,NA,NA,NA,NA,NA,NA,NA,123498.610497827,121556.910056914,1941.700440913,0.015722448,93185.351900240,7.986993218,7.922865000,6.884817203,2.230000000,37.348549532,0.221382887,0.273233801,51.144453548,16168.661834363,6.101473180,0.080189157,0.489271990,0.291794869,1.541248650,NA
1970Q2,755932.658748790,416040.317032181,133067.498385942,203195.383818253,104740.453044926,107939.376099116,0.167311715,0.169057520,0.144753096,0.173083334,0.225032473,0.225455599,0.147694426,126476.389871162,62221.453851814,49425.585964137,14829.350055211,111647.039815951,20.277311103,NA,NA,NA,NA,NA,NA,NA,NA,123542.800817906,121660.725002800,1882.075815105,0.015234201,93520.329899842,7.956545004,8.254439000,6.868907710,2.230000000,37.133159973,0.224935184,0.278217087,52.294388546,16524.382453419,6.213448578,0.082310842,0.511434186,0.294151698,1.530972745,NA
1970Q3,765039.807801584,421031.265765790,134996.652063369,206286.872549000,107148.039399529,111606.095964472,0.169811823,0.171909773,0.146927447,0.175594762,0.229488847,0.226582104,0.150070966,129912.804056912,64723.313050659,50086.949965480,15102.541040773,114810.263016139,20.465649554,NA,NA,NA,NA,NA,NA,NA,NA,123765.556492189,121817.886087384,1947.670404804,0.015736772,93875.722175133,7.602188806,8.384747000,6.755958587,2.230000000,35.625433060,0.228973360,0.283260118,52.782685597,16690.761031654,6.280192773,0.084601236,0.531312069,0.292697047,1.527458388,NA
1970Q4,774307.365160927,429207.009055830,137219.527973408,205445.228401773,108605.289497319,111909.351777317,0.171725680,0.174058679,0.147640197,0.177937027,0.232965099,0.228020546,0.151413027,132968.458822899,67098.842603167,50141.379443257,15728.236776476,117240.222046424,20.723625415,NA,NA,NA,NA,NA,NA,NA,NA,123965.504278194,122031.403312753,1934.100965441,0.015601929,94327.198137648,7.242308404,8.340932000,6.719869489,2.230000000,35.151576031,0.234163442,0.288353532,52.652854477,16758.323072772,6.345148414,0.086656599,0.549848980,0.287345172,1.526830908,NA
1971Q1,772953.496968389,432162.411995005,137677.394656464,204343.421207785,110813.548702088,113755.380042185,0.176340869,0.176498203,0.157736256,0.182533075,0.234677452,0.230132838,0.155813801,136303.291000049,69449.238455788,50987.583776253,15866.468768008,120436.822232041,21.103230862,NA,NA,NA,NA,NA,NA,NA,NA,124218.042732863,122248.055245818,1969.987487045,0.015859109,94793.353576926,6.516898213,7.860624000,7.321973777,2.550000000,35.625433060,0.238008975,0.291771002,53.014146388,16797.255068896,6.322828575,0.089849181,0.568100967,0.290206597,1.530164350,0.972365128
1971Q2,782855.155246493,438574.711901447,140161.067354889,209743.978047215,110732.617838411,112919.996473383,0.178341632,0.179137634,0.158593225,0.185547277,0.236967807,0.232273454,0.157699144,139615.666049462,70979.153310474,52476.434664258,16160.078074730,123455.587974732,21.459172064,NA,NA,NA,NA,NA,NA,NA,NA,124576.299086893,122508.113517850,2068.185569043,0.016601758,95088.933907005,5.938637529,7.930762000,8.769501235,3.450000000,35.539277237,0.241867070,0.294758876,53.809544380,16991.307667798,6.390231086,0.090667032,0.579383286,0.289008527,1.522262692,0.967501374
1971Q3,795064.490393062,442401.375496204,141676.671610798,210734.952278177,116031.789877849,116157.778758819,0.180983096,0.182035235,0.162831024,0.187617231,0.239253844,0.236760628,0.160046105,143893.232699016,73377.742751290,53869.231838744,16646.258108981,127246.974590034,21.711785589,NA,NA,NA,NA,NA,NA,NA,NA,124211.970009560,122147.597780943,2064.372228617,0.016619753,95241.541927202,6.226212562,8.026981000,8.693984112,3.420000000,35.237731854,0.245914260,0.296676132,54.271962362,17173.208743655,6.509047291,0.092291561,0.600730134,0.289783939,1.499918165,0.951682809
1971Q4,801388.203623928,447501.617111293,142733.104018324,213362.319095136,116050.847693763,117211.930029952,0.183481482,0.184144938,0.164047433,0.190193808,0.237824927,0.235710079,0.162449232,147039.895179707,75416.122611916,54768.775251776,16854.997316015,130184.897863692,22.040917106,NA,NA,NA,NA,NA,NA,NA,NA,124370.195390879,122143.352864268,2226.842526611,0.017904953,95525.851312113,6.005823296,7.846030000,8.705652789,3.400000000,35.668510972,0.250047712,0.297431284,54.430713484,17317.957019158,6.561046384,0.094106854,0.617439434,0.294262982,1.497927579,0.927411266
1972Q1,813263.277292210,455120.428554518,145175.264123095,215895.836208333,121249.892378168,122958.647127021,0.187587694,0.187185290,0.170590933,0.193068183,0.240059901,0.233811023,0.166113776,152558.182584905,78677.959155878,56416.274853112,17463.948575915,135094.234008990,22.413586998,NA,NA,NA,NA,NA,NA,NA,NA,124644.626334038,122272.729560211,2371.896773828,0.019029274,95919.598626087,5.046600907,7.587651000,9.352468471,3.576670000,39.545523034,0.254297497,0.299232522,55.222270387,17572.975503167,6.651223705,0.096743529,0.643462851,0.298092901,1.474462072,0.887363974
1972Q2,818739.345903222,457121.519668031,145995.667940031,218927.685199520,122538.562823656,126143.355181356,0.190231637,0.189654899,0.172102796,0.195869542,0.245217490,0.234424187,0.168567211,155750.126361902,80322.288779854,57690.319244267,17737.518337782,138012.608024120,22.733718986,NA,NA,NA,NA,NA,NA,NA,NA,124726.269120426,122317.518019519,2408.751100907,0.019312300,96164.201588614,4.753677934,7.549709000,9.467930378,3.640000000,39.717834682,0.257791553,0.304159134,56.351861585,17791.845499575,6.693557547,0.098104835,0.656670362,0.299453485,1.467538335,0.882077456
1972Q3,829934.531625590,465368.747185363,147498.387747258,221920.429837980,124112.195380905,128510.222728562,0.192937148,0.193565333,0.175165800,0.198354718,0.245179683,0.240141928,0.170849164,160125.201914186,82501.446713555,59292.173932461,18331.581268170,141793.620646016,23.137480435,NA,NA,NA,NA,NA,NA,NA,NA,125020.010270565,122545.241499230,2474.768771334,0.019794981,96506.834156857,4.857332855,7.582787000,9.345961835,3.620000000,38.770120622,0.261341042,0.304538348,56.807845134,18017.090926720,6.772474569,0.099407174,0.673232561,0.290370497,1.452458644,0.892827420
1972Q4,842083.326848895,470070.427337338,149145.071259110,227197.190577328,130092.784973392,132891.927046067,0.196457628,0.197224042,0.176585388,0.200823113,0.253959254,0.245919758,0.174252837,165433.692657816,85289.357372083,61446.051563878,18698.283721855,146735.408935961,23.613430027,NA,NA,NA,NA,NA,NA,NA,NA,125382.847562962,122948.610485743,2434.237077219,0.019414434,97112.325095276,6.394842968,7.814683000,9.716988042,3.620000000,42.733288508,0.267140731,0.313689256,57.818322643,18280.733981795,6.849067456,0.101283750,0.693699238,0.297972465,1.451429944,0.903780556
1973Q1,858295.476094277,479910.754619760,151989.220101583,231978.230886769,130958.386190750,135326.687936033,0.202708996,0.201282139,0.186628642,0.207186305,0.257813559,0.252318695,0.179848647,173984.214430407,89933.637133369,64429.642912732,19620.934384306,154363.280046101,24.110070342,NA,NA,NA,NA,NA,NA,NA,NA,125700.327843139,123352.603721968,2347.724121171,0.018677152,97619.319841123,6.791362777,7.975847000,10.696554976,3.780000000,50.918091750,0.272305521,0.317142124,59.853307765,18821.401675700,6.958065336,0.104781674,0.729077737,0.294084652,1.430714214,0.865006786
1973Q2,868702.265968788,484807.521042933,152796.852507040,232205.847688775,137588.395319466,139175.889733674,0.207606394,0.206809422,0.188520835,0.213966391,0.259967290,0.260560159,0.184311253,180348.144755509,93312.477461700,66799.126008825,20236.541284984,160111.603470525,24.694433085,NA,NA,NA,NA,NA,NA,NA,NA,126584.354977259,123954.542222897,2629.812754363,0.020775180,98133.025130550,8.485433372,8.305181000,11.974057638,4.096670000,59.835219493,0.276272783,0.317399304,60.249172189,18990.937386734,7.008232618,0.107415948,0.752795951,0.290344203,1.395506629,0.816771046
1973Q3,880631.714276152,487309.572004557,153377.195887672,233474.141001617,139569.855407406,144495.666868736,0.213306120,0.212368445,0.195536578,0.221251966,0.273050918,0.268524063,0.189666400,187844.133754403,97378.797898857,69647.449125792,20817.886729754,167026.247024649,25.195933985,NA,NA,NA,NA,NA,NA,NA,NA,126807.129299585,124430.682554302,2376.446745282,0.018740640,98636.622559841,10.211200035,8.601933000,13.599717385,4.526670000,70.820087003,0.282213848,0.320356387,60.053743394,19094.560337918,7.077287500,0.110578345,0.782594742,0.292877030,1.298891360,0.768044830
1973Q4,890253.584378466,492150.826535164,155846.512072591,234185.647827975,139441.052258704,146231.567826804,0.217893260,0.219125800,0.201522620,0.228378151,0.286648132,0.286932025,0.193766789,193980.255717430,101581.895077663,70919.682983342,21478.677656425,172501.578061005,25.858817726,NA,NA,NA,NA,NA,NA,NA,NA,127124.408527486,124706.772423583,2417.636103903,0.019017875,98972.420156490,11.082562958,8.715926000,13.880605647,4.600000000,72.758593034,0.292524140,0.337124032,60.410836926,19227.951520878,7.138774960,0.114104449,0.814565986,0.291642955,1.323494197,0.803514045
1974Q1,899067.844772529,492661.507039470,158309.157464201,233383.489413982,147257.530957991,145061.986012672,0.225279329,0.227246388,0.210385336,0.238994308,0.308313133,0.334854649,0.200815833,202541.400758862,105935.918694244,74611.139628985,21994.342435633,180547.058323229,26.742569759,NA,NA,NA,NA,NA,NA,NA,NA,127265.041336394,124786.682833691,2478.358502703,0.019473993,99198.380157782,11.226946359,9.340291000,30.062522435,15.500000000,81.201863747,0.298742831,0.361451517,59.406041875,19195.963405661,7.204838083,0.117828615,0.848936091,0.287843751,1.382842574,0.866909238
1974Q2,900694.681294593,497319.804494223,159817.959424270,227181.253243403,143996.359254359,144669.138423982,0.233174177,0.235878493,0.218525420,0.249817022,0.330056602,0.367039195,0.207543442,210018.741144429,111468.013651520,75465.260817712,23085.466675197,186933.274469232,27.641467270,NA,NA,NA,NA,NA,NA,NA,NA,127182.898731779,124666.375722192,2516.523009587,0.019786646,99305.989145229,11.465486577,10.064460000,27.471453789,13.000000000,84.389629220,0.311528763,0.380193754,60.119354200,19375.312839364,7.224840508,0.123757824,0.894130538,0.290781014,1.358516131,0.828946612
1974Q3,906830.585163174,500547.291519120,161122.854693877,227394.179104566,148783.421265907,148949.632845228,0.241473055,0.243295013,0.226102437,0.261371005,0.343818460,0.380609317,0.216107979,218975.151619292,115784.776115866,80188.549328900,23001.826174526,195973.325444766,28.451096121,NA,NA,NA,NA,NA,NA,NA,NA,127250.031200558,124541.807713644,2708.223486914,0.021282694,99203.092842634,11.524151691,10.697890000,25.228769949,11.500000000,81.977266159,0.322663558,0.395299546,60.076195131,19428.075753107,7.281334692,0.127680713,0.929686009,0.291865643,1.359894533,0.838653680
1974Q4,892380.961541911,495731.429498095,162739.838570774,220704.179894957,144047.786746213,138227.628637683,0.249611011,0.251944284,0.234484817,0.270231130,0.356857611,0.390114065,0.223920033,222748.113592041,120821.153494336,79000.820833443,22926.139264262,199821.974327780,29.369092145,NA,NA,NA,NA,NA,NA,NA,NA,127489.609140681,124210.688393005,3278.920747676,0.025719122,98980.700001816,10.659780150,10.587160000,25.856881101,11.700000000,84.949642074,0.337612008,0.409149172,59.217430116,18977.064808702,7.184413621,0.135391900,0.972711407,0.293221009,1.339605757,0.825004699
1975Q1,884052.172344265,498987.622897680,164661.733986097,217573.492613927,140753.847604440,131839.691078914,0.256083788,0.257890717,0.239042489,0.276080438,0.356005122,0.385134098,0.230630112,226391.429421268,124228.135501582,79660.916341833,22502.377577853,203889.051843415,29.837978246,NA,NA,NA,NA,NA,NA,0.012516619,0.015462269,127415.754435845,123741.680418023,3674.074017823,0.028835320,98623.656608273,8.813935178,9.898517000,24.624010952,11.500000000,77.152540038,0.348233403,0.406944052,59.009548700,18805.636387373,7.144336244,0.140521272,1.003931214,0.294918315,1.285923427,0.775022375
1975Q2,888616.735948337,506017.623316041,166741.948287485,214574.420843088,140561.616619296,134106.839521788,0.262489993,0.263894400,0.247965766,0.280960380,0.357398919,0.382317012,0.237054349,233253.000870472,128456.909167412,82193.552712192,22602.538990868,210650.461879605,30.571048124,NA,NA,NA,NA,NA,NA,0.008679332,0.013115530,127036.158782382,122939.239080492,4096.919701890,0.032250028,98040.285075370,7.055312727,9.564944000,23.485011809,11.400000000,69.441593825,0.360775237,0.411430647,59.017578463,18893.948016078,7.228096925,0.144558283,1.044881277,0.295009951,1.268259628,0.770773306
1975Q3,896554.624069145,512177.173738499,169408.101494696,215389.408297393,142323.518392802,138147.557308510,0.267823560,0.269797225,0.254419584,0.285546113,0.361181830,0.387790735,0.241995671,240118.451596488,132715.803264906,84246.534179734,23156.114151848,216962.337444640,31.101087850,NA,NA,NA,NA,NA,NA,0.005344224,0.014371743,126897.833720754,122742.025890944,4155.807829810,0.032749242,98004.463312752,6.382283317,9.441747000,23.602541911,11.500000000,69.398515913,0.369812022,0.423021439,59.240866256,19063.614387226,7.304381833,0.148028686,1.081258048,0.287762745,1.305476994,0.830568022
1975Q4,906028.394282031,519129.311320382,170198.790623100,218875.144309912,145015.481932537,142809.401842594,0.273402705,0.275721019,0.260698894,0.291324183,0.364845453,0.398055977,0.246661495,247710.614153470,136884.775821732,86597.542315473,24228.296016265,223482.318137204,31.681160723,NA,NA,NA,NA,NA,NA,0.001622102,0.017519268,127207.404904624,122697.993428456,4509.411476168,0.035449284,98216.924264925,6.598864929,9.287379000,23.452135102,11.600000000,67.416931970,0.380872576,0.431378852,59.988293747,19342.375600227,7.384215251,0.151082214,1.115623589,0.283941912,1.311104050,0.850290753
1976Q1,920821.388306269,525904.581514134,171187.103898372,218887.110689725,150756.746176977,148627.653975871,0.279050768,0.282469292,0.265797886,0.298672232,0.373528695,0.408268937,0.251860926,256955.915550317,141151.452114072,90767.475026231,25036.988410014,231918.927140303,32.531609299,NA,NA,NA,NA,NA,NA,0.005048445,0.022047795,127325.906978760,122790.253349304,4535.653629456,0.035622394,98195.025892488,7.000773740,9.430772000,25.455477160,12.900000000,70.561619532,0.386631732,0.443688001,60.433623156,19563.287558993,7.499140715,0.153288633,1.149533031,0.278231575,1.337654339,0.869432691
1976Q2,932663.336228218,529644.790345265,172815.312623431,219563.052020396,154249.158279682,151475.204751742,0.290620578,0.292027733,0.275189739,0.311426140,0.391520389,0.431240641,0.262065692,271051.158114038,148059.362823680,96359.700120225,26632.095170134,244419.062943904,33.502235181,NA,NA,NA,NA,NA,NA,-0.004031545,0.014159021,127680.950477028,123086.586005745,4594.364471283,0.035983163,98642.187267470,8.567814704,10.104040000,26.489647765,12.950000000,77.497163332,0.394480813,0.462232731,60.819471176,19828.769103503,7.577294704,0.158748990,1.202887883,0.278335492,1.353403892,0.903619671
1976Q3,940514.601993557,533750.465912565,174750.706423289,219019.420116140,156745.373962277,153581.348902171,0.298725930,0.299772529,0.284301575,0.321191532,0.405357988,0.448610024,0.269067934,280956.099155722,154761.909197779,98300.411565502,27893.778392441,253062.320763281,34.050908651,NA,NA,NA,NA,NA,NA,0.007083638,0.026161861,127957.203350021,123378.525589860,4578.677760161,0.035782884,99082.359458956,9.348489961,10.325610000,27.157314629,13.150000000,80.598772982,0.400952177,0.475021571,61.338912290,19995.275058230,7.623000822,0.164550246,1.254366661,0.280327285,1.353211853,0.907726612
1976Q4,955620.753035935,539727.930555408,175959.281231708,224304.615048645,161357.945397939,156880.469423779,0.306405927,0.307841104,0.292299626,0.330611765,0.416208658,0.462525500,0.276107694,292807.862344801,160352.164089702,103502.078131526,28953.620123573,263854.242221228,34.968860697,NA,NA,NA,NA,NA,NA,0.002074389,0.020525545,128104.380107123,123340.843895048,4763.536212075,0.037184804,99339.375197727,9.205677893,10.435460000,27.697679136,13.560000000,80.857240453,0.411041885,0.481268207,62.217216776,20267.842869179,7.747804562,0.167798955,1.300073512,0.272447225,1.310835911,0.897869754
1977Q1,959560.161842571,540963.419822483,176515.726101254,226991.459280657,161404.072023580,153331.577000199,0.313663944,0.315677637,0.299344958,0.337999879,0.424432570,0.471338695,0.283063179,300979.424840312,164918.095230920,106698.055080792,29363.274528600,271616.150311712,35.912473997,NA,NA,NA,NA,NA,NA,0.009638974,0.022151326,128283.990987700,123457.588450642,4826.402537058,0.037622797,99577.683121644,10.214431834,10.310930000,30.199026810,14.450000000,91.239017197,0.418126473,0.492114463,62.503124081,20279.226309542,7.772387051,0.171868427,1.335827933,0.274626632,1.323054537,0.893153570
1977Q2,960853.047499517,548005.266583785,177323.411644865,223819.614595791,165199.943487663,154928.509839626,0.323351300,0.324321659,0.310212961,0.346779108,0.431890939,0.480715330,0.291935792,310693.082226734,171796.210414290,108711.184928845,30185.686883600,280507.395343134,36.829946281,NA,NA,NA,NA,NA,NA,0.010579727,0.020648026,128507.268267308,123473.638729554,5033.629537754,0.039169999,99530.105199793,9.371813595,10.223060000,30.571983672,14.450000000,94.082159376,0.428268875,0.501966918,62.963783597,20359.512407466,7.781847667,0.178795510,1.391359420,0.270670295,1.322340292,0.886369796
1977Q3,961608.123275924,552376.279292356,179637.460661061,225001.059133322,166523.255743484,157059.147621773,0.330350987,0.332284351,0.317849898,0.354800742,0.437987748,0.484264557,0.297797871,317668.192562737,176026.125075473,110338.726359112,31303.341128152,286364.851434585,37.576279572,NA,NA,NA,NA,NA,NA,0.018369335,0.028200451,128368.685049529,123139.932690696,5228.752358832,0.040732304,99689.817164275,8.998484223,10.084900000,28.860980083,14.280000000,82.924980219,0.435476552,0.510448229,63.624029066,20428.796019506,7.809068125,0.183053908,1.429480439,0.267995488,1.327867313,0.874754955
1977Q4,973110.247347478,557910.266086886,182506.414454544,227781.167480762,171741.505197468,157562.845151606,0.337746522,0.338731096,0.325212224,0.364163158,0.446480921,0.493134718,0.305337103,328664.601759594,181142.571596270,115984.091937496,31537.938225828,297126.663533766,38.201327106,NA,NA,NA,NA,NA,NA,0.014539154,0.017643851,128479.363860052,123225.325742897,5254.038117155,0.040894023,99803.311851915,9.129861310,9.980953000,27.904019920,14.050000000,78.100254097,0.444305194,0.522119658,64.119651865,20567.912566179,7.896998782,0.186148047,1.470010897,0.270136646,1.338050509,0.851982304
1978Q1,979367.640070360,559618.975489398,183557.484076190,228501.636040965,170998.887639525,154308.818834338,0.345756701,0.344491395,0.334205268,0.372750734,0.452896100,0.494826237,0.312852479,338622.924702844,187190.472563400,119207.121071417,32225.331068027,306397.593634817,38.879540232,NA,NA,NA,NA,NA,NA,0.020267480,0.017052467,128673.580084795,123405.724749881,5267.855334914,0.040939681,99845.817832067,8.057085300,9.716788000,27.776696475,14.000000000,77.626397067,0.452980389,0.528599568,64.408245820,20644.944457058,7.936160515,0.191134018,1.516870250,0.273413768,1.324868828,0.808144601
