KEY,FREQ,REF_AREA,CURRENCY,PROVIDER_FM,INSTRUMENT_FM,PROVIDER_FM_ID,DATA_TYPE_FM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,FM_CONTRACT_TIME,FM_COUPON_RATE,FM_IDENTIFIER,FM_LOT_SIZE,FM_MATURITY,FM_OUTS_AMOUNT,FM_PUT_CALL,FM_STRIKE_PRICE,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,1994-Q1,6.84,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,1994-Q2,6.37,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,1994-Q3,6.383334,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,1994-Q4,6.506667,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,1995-Q1,6.943333,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,1995-Q2,7.136667,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,1995-Q3,6.693333,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,1995-Q4,6.506667,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,1996-Q1,5.63,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,1996-Q2,5.136667,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,1996-Q3,5,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
